Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V2 Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V2 Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Stub Record Variable to be Retained,Question Type,IMS Review Notes
69,69,,,,,,,,,,,,,,,,,,,,,153365143,7= Technology adapters,,,,,,,,,,,,,
70,70,,,,,,,,,,,,,,,,,,,,,663706936,8= Low-income/health professional shortage areas,,,,,,,,,,,,,
71,71,,,,,,,,,,,,,,,,,,,,,208952854,9=Research Registry,,,,,,,,,,,,,
72,72,,,,,,,,,,,,,,,,,,,,,296312382,10=Pop up,,,,,,,,,,,,,
73,73,,,,,,,,,,,,,,,,,,,,,130709488,11 = Urgent Care Visit,,,,,,,,,,,,,
74,74,,,,,,,,,,,,,,,,,,,,,181769837,55=Other,,,,,,,,,,,,,
75,75,,,,,,,,,,,,,,,,,,,,,398561594,88=None of these apply,,,,,,,,,,,,,
76,76,192505768,Recruitment,883203566,Sign in,,,,,,New,,280021666,Re-Invitation Campaign Type,,,Re-Invitation Campaign Type,RcrtSI_RInvCampaignType_v1r0,,Num,1,926338735,0=Random,,Yes,No,KP will push this to us when they initiate a batch of re-invitations.,,Recruitment Data Dictionary,No,No,2/7/25,Participants Table,,,
77,77,,,,,,,,,,,,,,,,,,,,,348281054,1=Screening appointment,,,,,,,,,,,,,
78,78,,,,,,,,,,,,,,,,,,,,,324692899,2=Non-screening appointment,,,,,,,,,,,,,
79,79,,,,,,,,,,,,,,,,,,,,,351257378,3=Demographic Group,,,,,,,,,,,,,
80,80,,,,,,,,,,,,,,,,,,,,,647148178,4=Aging out of study,,,,,,,,,,,,,
81,81,,,,,,,,,,,,,,,,,,,,,834544960,5=Geographic group,,,,,,,,,,,,,
82,82,,,,,,,,,,,,,,,,,,,,,682916147,6=Post-Screening Selection,,,,,,,,,,,,,
83,83,,,,,,,,,,,,,,,,,,,,,153365143,7= Technology adapters,,,,,,,,,,,,,
84,84,,,,,,,,,,,,,,,,,,,,,663706936,8= Low-income/health professional shortage areas,,,,,,,,,,,,,
85,85,,,,,,,,,,,,,,,,,,,,,208952854,9=Research Registry,,,,,,,,,,,,,
86,86,,,,,,,,,,,,,,,,,,,,,296312382,10=Pop up,,,,,,,,,,,,,
87,87,,,,,,,,,,,,,,,,,,,,,181769837,55=Other,,,,,,,,,,,,,
88,88,,,,,,,,,,,,,,,,,,,,,398561594,88=None of these apply,,,,,,,,,,,,,
89,89,192505768,Recruitment,883203566,Sign in,,,,,,New,,439351436,Re-Invitation Campaign Type Date,,,Re-Invitation Date,RcrtSI_RInvTimeStamp_v1r0,,ISO,24,,Example: 2020-07-17T15:21:26.763Z,,Yes,No,Will be autogenerated by our system upon receiving the Re-invitation Campaign Type.,"Required = Yes, if Re-Invitation Campaign Type sent",Recruitment Data Dictionary,No,No,2/7/25,Participants Table,,,
90,90,192505768,Recruitment,883203566,Sign in,,,,,,,,481139103,PIN/Token Workflow for HP,,,Workflow Type,RcrtSI_WorkflowType_v1r0,,Num,1,910533468,0 = Letter without PIN,,Yes,No,Going forward (from 2/21/23) HP will include PINs in all their recruitment letters. This means they won't be meaningfully using this variable we established for PIN vs No PIN groups from HP going forward.,"Required = Yes, for HP",Recruitment Data Dictionary,Yes,No,4/13/23,Participants Table Not nested (state_d_481139103),,,Removed Special Characters
91,91,,,,,,,,,,,,,,,,,,,,,456806539,1 = Letter with PIN,,,,,,,,,,,,,
92,92,192505768,Recruitment,883203566,Sign in,,,,,,,,158291096,Pre-consent Opt-out,,,Pre-consent Opt-out,RcrtSI_OptOut_v1r0,,Num,1,104430631,0 = No,,No,No,Default is No is set when study ID is submitted.  Sites should set to yes when I participant opts-out prior to consent and sent through the submitParticipantsData API call.  See Opt-out SOP.  A categorical reason for opt-out variable will be added to the dictionary once the list is finalized.,,Recruitment Data Dictionary,Yes,Yes,,Participants Table Not nested (state_d_158291096),,,
93,93,,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,,
94,94,192505768,Recruitment,883203566,Sign in,,,,,,,,697256759,Date/time for pre-consent opt-out,,,D/T Pre-consent Opt-out,RcrtSI_OptOutTm_v1r0,,ISO,24,,Example: 2020-07-17T15:21:26.763Z,,No,No,This is autoset by the system,,Master Data Dictionary,Yes,No,3/20/23,Participants Table Not nested (state_d_697256759),,,
95,95,192505768,Recruitment,883203566,Sign in,706283025,Reasons for opt-out request. (Select all that apply),,,,,,196038514,I am not interested,,,Not Interested,RcrtSI_OptOut_v1r0_inter,,Num,1,104430631,0 = No,,No,No,For use by those recording opt-out requests via phone (e.g. NORC helpdesk).  If a form option is ever created for participants to fill out the list will be reduced.,,Master Data Dictionary,Yes,Yes,10/21/21,Participants Table Nested structure: state_d_706283025_d_196038514,,,
